rt;stimulus;responses;key_press;test_part;blockNb;trialNb;condiEmoBlock;condiEmoTrial;condiRwd;posCritDist;distractor;posTarget;target;trial_type;trial_index;time_elapsed;internal_node_id;subject_id;date
999;imgJS/WMN_scramble_84.jpg,imgJS/WMN_scramble_88.jpg,imgJS/WMN_scramble_46.jpg,imgJS/WMN_scramble_70.jpg,imgJS/WMN_scramble_82.jpg,imgJS/WMN_83.jpg,imgJS/WMN_scramble_74.jpg,imgJS/WMN_scramble_64.jpg,imgJS/WMN_scramble_9.jpg,imgJS/WMF_5.jpg,imgJS/WMN_;999;999;rsvp_img_15;8;16;2;5;1;5;3;9;1;rsvp_flux;1086;1215887;0.0-1086.0;3038149;05/05/2020 16:59
2137.8649999388;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;8;16;2;5;1;5;3;9;1;html-keyboard-response;1087;1218029;0.0-1087.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;1088;1218081;0.0-1088.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;8;17;2;3;1;7;1;9;0;html-keyboard-response;1089;1219087;0.0-1089.0;3038149;05/05/2020 16:59
999;imgJS/WMF_scramble_19.jpg,imgJS/WMF_scramble_29.jpg,imgJS/WMF_scramble_13.jpg,imgJS/WMF_scramble_13.jpg,imgJS/WMF_scramble_7.jpg,imgJS/WMF_scramble_19.jpg,imgJS/WMF_scramble_12.jpg,imgJS/WMF_13.jpg,imgJS/WMF_scramble_29.jpg,imgJS/WFF_24.jpg,imgJS/WMF;999;999;rsvp_img_15;8;17;2;3;1;7;1;9;0;rsvp_flux;1090;1220142;0.0-1090.0;3038149;05/05/2020 16:59
767.43999996688;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswFem;8;17;2;3;1;7;1;9;0;html-keyboard-response;1091;1220912;0.0-1091.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;1092;1220962;0.0-1092.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;8;18;2;6;1;6;2;8;1;html-keyboard-response;1093;1221967;0.0-1093.0;3038149;05/05/2020 16:59
999;imgJS/WFN_scramble_64.jpg,imgJS/WFN_scramble_42.jpg,imgJS/WFN_scramble_24.jpg,imgJS/WFN_scramble_47.jpg,imgJS/WFN_scramble_18.jpg,imgJS/WFN_scramble_48.jpg,imgJS/WFN_28.jpg,imgJS/WFN_scramble_38.jpg,imgJS/WMF_15.jpg,imgJS/WFN_scramble_50.jpg,imgJS/WF;999;999;rsvp_img_15;8;18;2;6;1;6;2;8;1;rsvp_flux;1094;1223021;0.0-1094.0;3038149;05/05/2020 16:59
1324.035000056;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;8;18;2;6;1;6;2;8;1;html-keyboard-response;1095;1224349;0.0-1095.0;3038149;05/05/2020 16:59
