runID	startTime	doneTime	participant_participantID	taskSession_taskSessionID	taskSessionID	sessionName	openingTime	closingTime	task_taskID	rt	stimulus	responses	key_press	test_part	blockNb	trialNb	condiEmoBlock	condiEmoTrial	condiRwd	posCritDist	distractor	posTarget	target	trial_type	trial_index	time_elapsed	internal_node_id	run_id	date	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	1088.6999999639	<div style="font-size:20px;"><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>	999	78	rsvpAnswFem	1	2	1	1	1	4	1	8	3	html-keyboard-response	36	43839	0.0-36.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	999	999	999	fullscreenExp	999	999	999	999	999	999	999	999	999	fullscreen	37	43873	0.0-37.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	fixation_cross	999	999	fixation	1	3	1	4	1	8	2	10	3	html-keyboard-response	38	44877	0.0-38.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	imgJS/WFN_scramble_32.jpg,imgJS/WFN_scramble_18.jpg,imgJS/WFN_scramble_14.jpg,imgJS/WFN_scramble_83.jpg,imgJS/WFN_scramble_10.jpg,imgJS/WFN_scramble_46.jpg,imgJS/WFN_scramble_8.jpg,imgJS/WFN_scramble_86.jpg,imgJS/WFN_17.jpg,imgJS/WFN_scramble_29.jpg,imgJS/WMN_65.jpg,imgJS/WFN_scramble_7.jpg,imgJS/WFN_scramble_25.jpg,imgJS/WFN_scramble_3.jpg,imgJS/WFN_scramble_55.jpg	999	999	rsvp_img_15	1	3	1	4	1	8	2	10	3	rsvp_flux	39	45932	0.0-39.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	582.73999998346	<div style="font-size:20px;"><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>	999	78	rsvpAnswHom	1	3	1	4	1	8	2	10	3	html-keyboard-response	40	46517	0.0-40.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	999	999	999	fullscreenExp	999	999	999	999	999	999	999	999	999	fullscreen	41	46550	0.0-41.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	fixation_cross	999	999	fixation	1	4	1	2	1	5	0	7	3	html-keyboard-response	42	47553	0.0-42.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	imgJS/WFF_scramble_10.jpg,imgJS/WFF_scramble_34.jpg,imgJS/WFF_scramble_23.jpg,imgJS/WFF_scramble_2.jpg,imgJS/WFF_scramble_26.jpg,imgJS/WFF_11.jpg,imgJS/WFF_scramble_14.jpg,imgJS/WMN_25.jpg,imgJS/WFF_scramble_30.jpg,imgJS/WFF_scramble_17.jpg,imgJS/WFF_scramble_8.jpg,imgJS/WFF_scramble_16.jpg,imgJS/WFF_scramble_18.jpg,imgJS/WFF_scramble_22.jpg,imgJS/WFF_scramble_35.jpg	999	999	rsvp_img_15	1	4	1	2	1	5	0	7	3	rsvp_flux	43	48606	0.0-43.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	694.81000001542	<div style="font-size:20px;"><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>	999	78	rsvpAnswHom	1	4	1	2	1	5	0	7	3	html-keyboard-response	44	49303	0.0-44.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	999	999	999	fullscreenExp	999	999	999	999	999	999	999	999	999	fullscreen	45	49336	0.0-45.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	fixation_cross	999	999	fixation	1	5	1	3	1	8	3	10	2	html-keyboard-response	46	50340	0.0-46.0	26	11:22 26-5-2020	
