rt;stimulus;responses;key_press;test_part;blockNb;trialNb;condiEmoBlock;condiEmoTrial;condiRwd;posCritDist;distractor;posTarget;target;trial_type;trial_index;time_elapsed;internal_node_id;subject_id;date
999;fixation_cross;999;999;fixation;2;1;2;5;2;8;3;12;0;html-keyboard-response;299;280441;0.0-299.0;9546715;05/05/2020 14:35
999;imgJS/WMN_scramble_65.jpg,imgJS/WMN_scramble_74.jpg,imgJS/WMN_scramble_56.jpg,imgJS/WMN_scramble_24.jpg,imgJS/WMN_scramble_28.jpg,imgJS/WMN_scramble_15.jpg,imgJS/WMN_scramble_52.jpg,imgJS/WMN_scramble_72.jpg,imgJS/WMN_16.jpg,imgJS/WMN_scramble_84.jpg;999;999;rsvp_img_15;2;1;2;5;2;8;3;12;0;rsvp_flux;300;281495;0.0-300.0;9546715;05/05/2020 14:35
705.57499991264;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswFem;2;1;2;5;2;8;3;12;0;html-keyboard-response;301;282204;0.0-301.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;302;282251;0.0-302.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;2;2;2;6;2;8;2;10;0;html-keyboard-response;303;283255;0.0-303.0;9546715;05/05/2020 14:35
999;imgJS/WFN_scramble_33.jpg,imgJS/WFN_scramble_13.jpg,imgJS/WFN_scramble_5.jpg,imgJS/WFN_scramble_58.jpg,imgJS/WFN_scramble_64.jpg,imgJS/WFN_scramble_42.jpg,imgJS/WFN_scramble_38.jpg,imgJS/WFN_scramble_58.jpg,imgJS/WFN_16.jpg,imgJS/WFN_scramble_76.jpg,;999;999;rsvp_img_15;2;2;2;6;2;8;2;10;0;rsvp_flux;304;284309;0.0-304.0;9546715;05/05/2020 14:35
607.96999989543;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;2;2;2;6;2;8;2;10;0;html-keyboard-response;305;284920;0.0-305.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;306;284960;0.0-306.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;2;3;2;5;2;8;3;12;0;html-keyboard-response;307;285965;0.0-307.0;9546715;05/05/2020 14:35
999;imgJS/WMN_scramble_24.jpg,imgJS/WMN_scramble_89.jpg,imgJS/WMN_scramble_55.jpg,imgJS/WMN_scramble_8.jpg,imgJS/WMN_scramble_66.jpg,imgJS/WMN_scramble_32.jpg,imgJS/WMN_scramble_70.jpg,imgJS/WMN_scramble_42.jpg,imgJS/WMN_61.jpg,imgJS/WMN_scramble_37.jpg,;999;999;rsvp_img_15;2;3;2;5;2;8;3;12;0;rsvp_flux;308;287018;0.0-308.0;9546715;05/05/2020 14:35
1537.3200000031;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;2;3;2;5;2;8;3;12;0;html-keyboard-response;309;288558;0.0-309.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;310;288597;0.0-310.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;2;4;2;6;2;7;2;9;0;html-keyboard-response;311;289602;0.0-311.0;9546715;05/05/2020 14:35
999;imgJS/WFN_scramble_72.jpg,imgJS/WFN_scramble_73.jpg,imgJS/WFN_scramble_61.jpg,imgJS/WFN_scramble_45.jpg,imgJS/WFN_scramble_54.jpg,imgJS/WFN_scramble_83.jpg,imgJS/WFN_scramble_18.jpg,imgJS/WFN_26.jpg,imgJS/WFN_scramble_31.jpg,imgJS/WFF_8.jpg,imgJS/WFN;999;999;rsvp_img_15;2;4;2;6;2;7;2;9;0;rsvp_flux;312;290656;0.0-312.0;9546715;05/05/2020 14:35
545.41000002064;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;2;4;2;6;2;7;2;9;0;html-keyboard-response;313;291204;0.0-313.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;314;291250;0.0-314.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;2;5;2;6;2;8;2;10;0;html-keyboard-response;315;292254;0.0-315.0;9546715;05/05/2020 14:35
999;imgJS/WFN_scramble_80.jpg,imgJS/WFN_scramble_76.jpg,imgJS/WFN_scramble_2.jpg,imgJS/WFN_scramble_79.jpg,imgJS/WFN_scramble_38.jpg,imgJS/WFN_scramble_71.jpg,imgJS/WFN_scramble_70.jpg,imgJS/WFN_scramble_25.jpg,imgJS/WFN_43.jpg,imgJS/WFN_scramble_26.jpg,;999;999;rsvp_img_15;2;5;2;6;2;8;2;10;0;rsvp_flux;316;293309;0.0-316.0;9546715;05/05/2020 14:35
960.51000000443;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;2;5;2;6;2;8;2;10;0;html-keyboard-response;317;294272;0.0-317.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;318;294312;0.0-318.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;2;6;2;5;2;4;3;6;0;html-keyboard-response;319;295317;0.0-319.0;9546715;05/05/2020 14:35
999;imgJS/WMN_scramble_24.jpg,imgJS/WMN_scramble_25.jpg,imgJS/WMN_scramble_42.jpg,imgJS/WMN_scramble_51.jpg,imgJS/WMN_61.jpg,imgJS/WMN_scramble_52.jpg,imgJS/WFF_30.jpg,imgJS/WMN_scramble_62.jpg,imgJS/WMN_scramble_73.jpg,imgJS/WMN_scramble_65.jpg,imgJS/WM;999;999;rsvp_img_15;2;6;2;5;2;4;3;6;0;rsvp_flux;320;296370;0.0-320.0;9546715;05/05/2020 14:35
978.51499996614;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;2;6;2;5;2;4;3;6;0;html-keyboard-response;321;297351;0.0-321.0;9546715;05/05/2020 14:35
