rt;stimulus;responses;key_press;test_part;blockNb;trialNb;condiEmoBlock;condiEmoTrial;condiRwd;posCritDist;distractor;posTarget;target;trial_type;trial_index;time_elapsed;internal_node_id;subject_id;date
999;fixation_cross;999;999;fixation;0;18;1;2;1;8;0;10;2;html-keyboard-response;125;219633;0.0-125.0;8651065;06/05/2020 14:25
999;imgJS/WFF_scramble_25.jpg,imgJS/WFF_scramble_5.jpg,imgJS/WFF_scramble_32.jpg,imgJS/WFF_scramble_24.jpg,imgJS/WFF_scramble_33.jpg,imgJS/WFF_scramble_29.jpg,imgJS/WFF_scramble_36.jpg,imgJS/WFF_scramble_35.jpg,imgJS/WFF_9.jpg,imgJS/WFF_scramble_4.jpg,im;999;999;rsvp_img_15;0;18;1;2;1;8;0;10;2;rsvp_flux;126;220688;0.0-126.0;8651065;06/05/2020 14:25
1562.4949999619;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;0;18;1;2;1;8;0;10;2;html-keyboard-response;127;222255;0.0-127.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;128;222294;0.0-128.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;19;1;1;1;6;1;10;3;html-keyboard-response;129;223299;0.0-129.0;8651065;06/05/2020 14:25
999;imgJS/WMF_scramble_28.jpg,imgJS/WMF_scramble_19.jpg,imgJS/WMF_scramble_26.jpg,imgJS/WMF_scramble_8.jpg,imgJS/WMF_scramble_13.jpg,imgJS/WMF_scramble_22.jpg,imgJS/WMF_28.jpg,imgJS/WMF_scramble_7.jpg,imgJS/WMF_scramble_19.jpg,imgJS/WMF_scramble_20.jpg,i;999;999;rsvp_img_15;0;19;1;1;1;6;1;10;3;rsvp_flux;130;224354;0.0-130.0;8651065;06/05/2020 14:25
797.11499996483;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;0;19;1;1;1;6;1;10;3;html-keyboard-response;131;225153;0.0-131.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;132;225201;0.0-132.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;20;1;3;1;5;1;9;0;html-keyboard-response;133;226205;0.0-133.0;8651065;06/05/2020 14:25
999;imgJS/WMF_scramble_28.jpg,imgJS/WMF_scramble_21.jpg,imgJS/WMF_scramble_22.jpg,imgJS/WMF_scramble_7.jpg,imgJS/WMF_scramble_9.jpg,imgJS/WMF_16.jpg,imgJS/WMF_scramble_17.jpg,imgJS/WMF_scramble_2.jpg,imgJS/WMF_scramble_14.jpg,imgJS/WFF_7.jpg,imgJS/WMF_sc;999;999;rsvp_img_15;0;20;1;3;1;5;1;9;0;rsvp_flux;134;227258;0.0-134.0;8651065;06/05/2020 14:25
2710.1999999722;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswFem;0;20;1;3;1;5;1;9;0;html-keyboard-response;135;229971;0.0-135.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;136;230012;0.0-136.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;21;1;1;1;6;1;10;3;html-keyboard-response;137;231017;0.0-137.0;8651065;06/05/2020 14:25
999;imgJS/WMF_scramble_7.jpg,imgJS/WMF_scramble_6.jpg,imgJS/WMF_scramble_9.jpg,imgJS/WMF_scramble_11.jpg,imgJS/WMF_scramble_28.jpg,imgJS/WMF_scramble_10.jpg,imgJS/WMF_19.jpg,imgJS/WMF_scramble_27.jpg,imgJS/WMF_scramble_5.jpg,imgJS/WMF_scramble_5.jpg,imgJ;999;999;rsvp_img_15;0;21;1;1;1;6;1;10;3;rsvp_flux;138;232071;0.0-138.0;8651065;06/05/2020 14:25
866.55499995686;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;0;21;1;1;1;6;1;10;3;html-keyboard-response;139;232940;0.0-139.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;140;232977;0.0-140.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;22;1;3;1;5;3;7;3;html-keyboard-response;141;233982;0.0-141.0;8651065;06/05/2020 14:25
